datetime;timestamp_desc;source;source_long;message;parser;display_name;tag
0000-00-00T00:00:00.000000+00:00;Not a time;SQLITE;iOS notes database;;sqlite/ios_notes;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite;-
2020-03-28T00:36:48.000000+00:00;Creation Time;SQLITE;iOS notes database;Title: My First Note Content: This is my first note. Nothing special.;sqlite/ios_notes;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite;-
2020-03-28T00:37:43.000000+00:00;Modification Time;SQLITE;iOS notes database;Title: My First Note Content: This is my first note. Nothing special.;sqlite/ios_notes;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite;-
2020-03-28T00:42:31.000000+00:00;Creation Time;SQLITE;iOS notes database;Title: My Secret Note;sqlite/ios_notes;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite;-
2020-03-28T00:42:56.000000+00:00;Modification Time;SQLITE;iOS notes database;Title: My Secret Note;sqlite/ios_notes;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite;-
2020-03-28T00:48:37.000000+00:00;Creation Time;SQLITE;iOS notes database;Title: My Super Secret Note;sqlite/ios_notes;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite;-
2020-03-28T00:49:13.000000+00:00;Modification Time;SQLITE;iOS notes database;Title: My Super Secret Note;sqlite/ios_notes;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite;-
2021-02-15T20:21:41.000000+00:00;Creation Time;SQLITE;iOS notes database;Title: iOS 14 Note Content: This is a note created for iOS 14. It is created on iPhone.;sqlite/ios_notes;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite;-
2021-02-15T20:22:13.000000+00:00;Modification Time;SQLITE;iOS notes database;Title: iOS 14 Note Content: This is a note created for iOS 14. It is created on iPhone.;sqlite/ios_notes;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite;-
2021-02-15T20:37:09.000000+00:00;Creation Time;SQLITE;iOS notes database;Title: iOS 14 Locked Note;sqlite/ios_notes;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite;-
2021-02-15T20:37:54.000000+00:00;Modification Time;SQLITE;iOS notes database;Title: iOS 14 Locked Note;sqlite/ios_notes;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite;-
2023-05-10T00:56:26.000000+00:00;Creation Time;SQLITE;iOS notes database;Title: iOS 15 Note Content: Here is the test iOS 15 note.;sqlite/ios_notes;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite;-
2023-05-10T00:57:01.000000+00:00;Modification Time;SQLITE;iOS notes database;Title: iOS 15 Note Content: Here is the test iOS 15 note.;sqlite/ios_notes;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite;-
2023-05-10T00:59:13.000000+00:00;Creation Time;SQLITE;iOS notes database;;sqlite/ios_notes;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite;-
2023-05-10T00:59:13.000000+00:00;Creation Time;SQLITE;iOS notes database;Title: Secure iOS 15 Note;sqlite/ios_notes;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite;-
2023-05-10T00:59:42.000000+00:00;Modification Time;SQLITE;iOS notes database;;sqlite/ios_notes;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite;-
2023-05-10T00:59:42.000000+00:00;Modification Time;SQLITE;iOS notes database;Title: Secure iOS 15 Note;sqlite/ios_notes;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite;-
2024-11-11T03:03:34.000000+00:00;Creation Time;FILE;File stat;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o666 Number of links: 1;filestat;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite;-
2024-11-11T03:03:34.396728+00:00;Content Modification Time;FILE;File stat;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o666 Number of links: 1;filestat;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite;-
2024-12-05T00:44:47.387012+00:00;Last Access Time;FILE;File stat;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o666 Number of links: 1;filestat;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite;-
